Date,ConnType,ConnDetails,Lat,Lon,Download,DownloadBytes,Upload,UploadBytes,Latency,ServerName,InternalIp,ExternalIp,Is SpeedTest VPN
"2025-07-12 00:08,Wi-Fi,""SSID: airBaltic Starlink"",60.318107,24.964926,89531,103646317,14145,4115321,63,""Helsinki"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-12 00:07,Wi-Fi,""SSID: airBaltic Starlink"",60.317783,24.964965,93030,117558407,14029,22461456,53,""Helsinki"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-12 00:06,Wi-Fi,""SSID: airBaltic Starlink"",60.317783,24.964965,87063,96414671,22768,33865256,64,""Helsinki"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-12 00:05,Wi-Fi,""SSID: airBaltic Starlink"",60.317783,24.964965,92597,107196454,29492,35856480,62,""Helsinki"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-12 00:05,Wi-Fi,""SSID: airBaltic Starlink"",60.317783,24.964965,88068,126547011,19123,27174664,59,""Helsinki"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-12 00:04,Wi-Fi,""SSID: airBaltic Starlink"",60.317783,24.964965,69336,39826527,29951,54276240,59,""Helsinki"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-12 00:03,Wi-Fi,""SSID: airBaltic Starlink"",60.317783,24.964965,28223,37987478,21791,38697152,74,""Helsinki"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-12 00:03,Wi-Fi,""SSID: airBaltic Starlink"",60.317783,24.964965,38321,43720801,24266,33481664,69,""Helsinki"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-12 00:02,Wi-Fi,""SSID: airBaltic Starlink"",60.317783,24.964965,90631,144851114,30680,56031247,74,""Helsinki"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-12 00:01,Wi-Fi,""SSID: airBaltic Starlink"",60.318442,24.965589,79327,136126251,23245,29277452,69,""Helsinki"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-12 00:00,Wi-Fi,""SSID: airBaltic Starlink"",60.322427,24.960036,85441,113466870,11875,17749919,50,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:59,Wi-Fi,""SSID: airBaltic Starlink"",60.322427,24.960036,79341,85087242,19050,24211416,51,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:59,Wi-Fi,""SSID: airBaltic Starlink"",60.322427,24.960036,89273,124895104,24374,40847952,54,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:58,Wi-Fi,""SSID: airBaltic Starlink"",60.309877,24.920186,87344,108213765,11998,20910968,60,""Helsinki"",""2a0d:3344:1549:db20::eaf"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:57,Wi-Fi,""SSID: airBaltic Starlink"",60.321293,24.914089,86268,90519395,10932,16102149,50,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:57,Wi-Fi,""SSID: airBaltic Starlink"",60.315285,24.900610,75685,95168961,19197,37169804,63,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:56,Wi-Fi,""SSID: airBaltic Starlink"",60.289543,24.868099,65738,121726753,38266,67281216,53,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:55,Wi-Fi,""SSID: airBaltic Starlink"",60.310126,24.892573,62828,112504876,13217,22054444,55,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:55,Wi-Fi,""SSID: airBaltic Starlink"",60.123757,24.477328,69207,85703879,14590,15177772,51,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:54,Wi-Fi,""SSID: airBaltic Starlink"",60.122866,24.475660,61490,96990493,20309,22566624,51,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:53,Wi-Fi,""SSID: airBaltic Starlink"",60.121857,24.475086,72192,93436606,17163,30088132,59,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:53,Wi-Fi,""SSID: airBaltic Starlink"",60.121857,24.475086,73680,88881297,21867,35453312,58,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:52,Wi-Fi,""SSID: airBaltic Starlink"",60.121857,24.475086,65220,77434403,13276,22412330,72,""Helsinki"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:51,Wi-Fi,""SSID: airBaltic Starlink"",60.121857,24.475086,64798,99291306,16434,30168528,57,""Helsinki"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:50,Wi-Fi,""SSID: airBaltic Starlink"",60.121857,24.475086,67862,112476686,26913,49637276,58,""Espoo"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
"2025-07-11 23:50,Wi-Fi,""SSID: airBaltic Starlink"",60.118329,24.414603,75177,99404291,19224,34276840,74,""Espoo"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",""2a0d:3344:1549:db20:c525:e9f2:6599:aaa4"",No"
